id,name,description,city,state
314396,"CAPITOL FEDERAL STRATEGIES, LLC",Lobbying and consulting.,Syracuse,NY
314410,CYNTHIA GILLESPIE,,ALEXANDRIA,VA
314432,"WHITAKER STRATEGIES (STEPHEN B. WHITAKER DBA WHITAKER SRATEGIES, FORMERLY WHITAK",Lobbying firm,Washington,DC
314454,JOHN CHESSON,,FALLS CHURCH,VA
314476,NATIVE AMERICAN CONTRACTORS ASSOCIATION,,Washington,DC
314498,GREEN CAPITOL LLC,"""Green"" policy and strategy consultancy.",Annapolis,MD
314512,ARCELORMITTAL NORTH AMERICA HOLDINGS LLC AND ITS US SUBSIDIARIES,,Washington,DC
314534,"ALCON LABORATORIES, INC.",Pharmaceutical and medical device manufacturer,FORT WORTH,TX
314556,SOUTHPAW  STRATEGIES,,Washington,DC
314578,"MSE, INC.",,Butte,MT
314591,MS. MELINDA RAY,Association consulting - leadership development and public policy,Arlington,VA
314636,"GALLAGHER, CALLAHAN & GARTRELL, P.C.",,Concord,NH
314658,NATIONAL PSORIASIS FOUNDATION,health care,Alexandria,VA
314671,"SRC, INC.",,NORTH SYRACUSE,NY
314693,MEGAN GRAY,Intellectual Property Attorney,Washington,DC
314716,CTR. FOR INTERNATIONAL EDUCATION DBA THE VISITING INTERNATIONAL FACULTY PROGRAM,,Chapel Hill,NC
314738,GORDON THOMAS HONEYWELL GOVERNMENTAL AFFAIRS,lobbying firm,Washington,DC
314751,"AMERICAN CANCER SOCIETY, GREAT WEST DIVISION, INC.",,Seattle,WA
314773,WESTERN ORGANIZATION OF RESOURCE COUNCILS,Non-profit community organization representing citizens in seven western states.,Washington,DC
314795,"DISTRICT STRATEGIES, LLC",government affairs firm,Washington,DC
314818,CALLWOOD AND ASSOCIATES LLC,,Washington,DC
314831,"FEDERAL INITIATIVES, LLC",Professional consulting and representation,St. Simons Island,GA
314853,CAPITAL CITY STRATEGIES,,Medford,NJ
314875,TRAVEL BUSINESS ROUNDTABLE,"Educate policymakers of the economic, social and diplomatic benefits of travel and tourism",WASHINGTON,DC
314897,AMERICAN VENDORS ASSN,,SAN FRANCISCO,CA
314911,POLSINELLI PC,Law Firm,Washington,DC
314933,PHASE LINE STRATEGIES,,Highlands Ranch,CO
314955,"SEGAL, JULIE",,ALEXANDRIA,VA
314977,"MRGB CONSULTING, LLC",Consulting,Alexandria,VA
314990,ROSEMARY MURRAY,,Alexandria,VA
315012,PUBLIC KNOWLEDGE,Public interest organization,Washington,DC
315034,REGIONS FINANCIAL CORP,Financial Services,Birmingham,AL
315056,"FEDERAL BUSINESS ADVISORS, LLC",,Arlington,VA
315078,"FLETCHER, HEALD & HILDRETH, P.L.C.",Law firm,Arlington,VA
315091,"RUBICON ADVISORS, LLC",Lobbying firm,Washington,DC
315114,"DCBA LAW, PLLC",,ARLINGTON,VA
315136,"RITTS LAW GROUP, PLLC",,Alexandria,VA
315158,THE FIORENTINO GROUP,Government Relations and Business Development,Jacksonville,FL
315171,"STATOIL GULF OF MEXICO, LLC",,Houston,TX
315193,ARMED FORCES SPECIAL AGENTS ASSN,,ARLINGTON ,VA
315216,"POLICY MATTERS, LLC (FORMERLY KNOWN AS TKB CONSULTING, LLC)",lobbying and consultancy,Westminster,CO
315273,BAKER AND MILLER PLLC,,Washington,DC
315295,PETER TEELEY,,BETHESDA,MD
315318,"NORTH BRIDGE COMMUNICATIONS, INC.",Public affairs and public relations consulting,Washington,DC
315331,JOHN MULLETT,,Alexandria,VA
315353,U.S. PSYCHIATRIC REHABILITATION ASSOCIATION (USPRA),,LINTHICUM,MD
315375,INTERNATIONAL PEACE OPERATIONS ASSOCIATION,,Washington,DC
315397,THE REGENCE GROUP,,PORTLAND,OR
315411,"NEXSEN PRUET, LLC",Multiple practice law firm,Columbia,SC
315433,MILO PUBLIC AFFAIRS LLC,Legislative strategy and lobbying,Washington,DC
315455,STS FEDERAL CONSULTING,,ALEXANDRIA,VA
315477,BUTTERFIELD EVANS & ASSOCIATES LLC,Government affairs,Washington,DC
315490,"FEDERAL STRATEGIES GROUP, INC.",consulting,Washington,DC
315513,ROBERTI ASSOCIATES,Lobbying House & Senate,Washington,DC
315535,STRATEGIC ORGANIZING CENTER,Federation of labor unions advocating for safe and equitable workplaces for all employees,Washington,DC
315557,"NUCLEAR ENERGY STRATEGIES, LLC",,McLean,VA
315570,AMBERWAVE SYSTEMS CORPORATION,,Salem,NH
315592,HORIZON GOVERNMENT AFFAIRS,Health Care and Health Care Coverage,Washington,DC
315615,CAPITAL CONSULTANTS,,Austin,TX
315637,TERRESTAR NETWORKS INC.,Telecommunications,Reston,VA
315650,ABIR,,Washington,DC
315672,MICHAEL DUGA,,Coral Springs,FL
315694,LESLIE WATERS,,Pinellas Park,FL
315717,GEPHARDT GROUP GOVERNMENT AFFAIRS,Lobbying and consulting firm,Washington,DC
315752,"CORALLO COMSTOCK, INC.",,ALEXANDRIA,VA
315796,"THE HAMILTON CONSULTING GROUP, LLC",,Madison,WI
315810,MASSACHUSETTS AFFORDABLE RELIABLE ELECTRICITY ALLIANCE (MASS AREA),,Boston,MA
315832,MS. CATHERINE MCCULLOUGH,"federal advocacy, public affairs",North Potomac,MD
315854,"DUNN, JENNIFER",Consultant,Alexandria,VA
315876,DEL MONTE FOODS,,San Francisco,CA
315898,KRL INTERNATIONAL LLC,Consulting primarily Public Policy matters,Falls Church,VA
315912,"PATHFINDERS GOVERNMENT RELATIONS, LLC",Government Relations consulting,Washington,DC
315934,SHARRATT & SHARRATT,,ARLINGTON,VA
315956,JOBS WITH JUSTICE F.K.A. AMERICAN RIGHTS AT WORK,expanded bargaining for workers rights,Washington,DC
315978,MR. JOHN DEMING,,Wilmington,DE
315991,"MALONEY GOVERNMENT RELATIONS, LLC",lobbying,Washington,DC
316013,DOW LOHNES GOVERNMENT STRATEGIES LLC,Government relations firm,Washington,DC
316035,"WIGLEY, MARTIN T.",,ALEXANDRIA ,VA
316057,ICE MILLER STRATEGIES LLC,Public policy and government relations,Washington,DC
316070,JOHN J LAFALCE,,Kenmore,NY
316092,NEW FLYER OF AMERICA INC.,Manufacturing,Winnipeg,MB
316115,"GLOBAL POLICY PARTNERS, LLC (FORMERLY GLOBAL POLICY GROUP, LLC)",Government Relations and Business Development Consulting,Bowie,MD
316137,"WRITERS GUILD OF AMERICA, WEST, INC.",,Los Angeles,CA
316150,DRD ASSOCIATES / DEBBIE REED,,Washington,DC
316172,JAMILA TAYLOR,legislative and policy analysis,Washington,DC
316194,MARTIN E. SIMMONS,,Nashville,TN
316217,"POTOMAC STRATEGIC DEVELOPMENT COMPANY, LLC",Legislative counsel,Alexandria,VA
316230,"THE H2 GROUP, LLC",,Washington,DC
316252,"ADKINS STRATEGIES, LLC",Consultant,Washington,DC
316274,"THE KAIZEN STRATEGY GROUP, LLC",,WASHINGTON,DC
316296,ENVIRONMENTAL DEFENSE ACTION FUND,,NEW YORK,NY
316310,TURNER & GOSS LLP,law firm specializing in health care law and public policy,Washington,DC
316332,"DECKER GARMAN SULLIVAN AND ASSOCIATES, LLC",Consulting Firm,Alexandria,VA
316354,"LEGG, PERKINS & ASSOCIATES, LLC",Defense and Security Consulting,Washington,DC
316376,WINDSTREAM SERVICES LLC,Telecommunications service provider,Washington,DC
316398,ELLEN C. WILLIAMS,Lobbyist,Lawrenceburg,KY
316412,MR. MICHAEL JIMENEZ,government relations firm,Fort Pierce,FL
316434,340B HEALTH,A non-profit hospital association representing hospitals enrolled in the 340B program.,Washington,DC
316456,ALLIANCE FOR AFFORDABLE SERVICES,,Washington,DC
316478,MIDWEST STRATEGY GROUP LLC,,Lansing,MI
316491,MR. WILLIAM LIPINSKI,Lobbying,Western Springs,IL
316514,"AGWORKS SOLUTIONS, LLC",General Agricultural Consulting,Washington,DC
316536,AMERICAN INVESTMENT COUNCIL F/K/A PEGCC,,Washington,DC
316558,THE ROUZER COMPANY,Self-employed government affairs consultant,Raleigh,NC
316571,"LINCHPIN STRATEGIES, LLC",Government Affairs Firm,Washington,DC
316593,BARTELL & BARICKMAN,,CHAMPAIGN ,IL
316616,POLICYWORKS,Government affairs and public affairs consultant,Des Moines,IA
316638,ALLMAN STRATEGIES,,Washington,DC
316651,ROSIE'S FOR ALL KIDS FOUNDATION,,NEW YORK,NY
316673,"GLOBAL ENERGY STRATEGIC PARTNERS, LLC",,New Orleans,LA
316695,"CURRENT GROUP, LLC",,GERMANTOWN,MD
